Age,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Ticket,Deck,Family_Size,Ticket_Frequency,Title,Sex_1,Sex_2
3,1,0,1,3,male,1,0.0,A/5 21171,M,2,1,3,0.0,1.0
5,4,0,2,1,female,1,1.0,PC 17599,ABC,2,2,2,1.0,0.0
4,1,0,3,3,female,0,1.0,STON/O2. 3101282,M,1,1,2,1.0,0.0
4,4,0,4,1,female,1,1.0,113803,ABC,2,2,2,1.0,0.0
4,2,0,5,3,male,0,0.0,373450,M,1,1,3,0.0,1.0
3,2,0,6,3,male,0,0.0,330877,M,1,1,3,0.0,1.0
5,4,0,7,1,male,0,0.0,17463,DE,1,2,3,0.0,1.0
0,3,1,8,3,male,3,0.0,349909,M,5,5,1,0.0,1.0
4,2,2,9,3,female,0,1.0,347742,M,3,3,2,1.0,0.0
2,3,0,10,2,female,1,1.0,237736,M,2,2,2,1.0,0.0
0,3,1,11,3,female,1,1.0,PP 9549,FG,3,3,2,1.0,0.0
5,3,0,12,1,female,0,1.0,113783,ABC,1,1,2,1.0,0.0
3,2,0,13,3,male,0,0.0,A/5. 2151,M,1,1,3,0.0,1.0
5,4,5,14,3,male,1,0.0,347082,M,7,7,3,0.0,1.0
2,1,0,15,3,female,0,0.0,350406,M,1,1,2,1.0,0.0
5,3,0,16,2,female,0,1.0,248706,M,1,1,2,1.0,0.0
0,3,1,17,3,male,4,0.0,382652,M,6,6,1,0.0,1.0
4,2,0,18,2,male,0,1.0,244373,M,1,1,3,0.0,1.0
4,3,0,19,3,female,1,0.0,345763,M,2,2,2,1.0,0.0
3,1,0,20,3,female,0,1.0,2649,M,1,1,2,1.0,0.0
4,3,0,21,2,male,0,0.0,239865,M,1,2,3,0.0,1.0
4,2,0,22,2,male,0,1.0,248698,DE,1,1,3,0.0,1.0
2,2,0,23,3,female,0,1.0,330923,M,1,1,2,1.0,0.0
4,4,0,24,1,male,0,1.0,113788,ABC,1,1,3,0.0,1.0
1,3,1,25,3,female,3,0.0,349909,M,5,5,2,1.0,0.0
5,4,5,26,3,female,1,1.0,347077,M,7,7,2,1.0,0.0
3,1,0,27,3,male,0,0.0,2631,M,1,1,3,0.0,1.0
3,4,2,28,1,male,3,0.0,19950,ABC,6,6,3,0.0,1.0
3,1,0,29,3,female,0,1.0,330959,M,1,1,2,1.0,0.0
3,1,0,30,3,male,0,0.0,349216,M,1,1,3,0.0,1.0
5,3,0,31,1,male,0,0.0,PC 17601,M,1,1,0,0.0,1.0
5,4,0,32,1,female,1,1.0,PC 17569,ABC,2,3,2,1.0,0.0
3,1,0,33,3,female,0,1.0,335677,M,1,1,2,1.0,0.0
