Age,Deck,Family_Size,Fare,Is_Married,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Ticket,Ticket_Frequency,Title
4,M,2,0,0,0,1,3,male,1,0.0,A/5 21171,1,Mr
0,ABC,2,3,1,0,2,1,female,1,1.0,PC 17599,2,Miss/Mrs/Ms
6,M,1,0,0,0,3,3,female,0,1.0,STON/O2. 3101282,1,Miss/Mrs/Ms
6,ABC,2,3,1,0,4,1,female,1,1.0,113803,2,Miss/Mrs/Ms
6,M,1,1,0,0,5,3,male,0,0.0,373450,1,Mr
4,M,1,1,0,0,6,3,male,0,0.0,330877,1,Mr
0,DE,1,3,0,0,7,1,male,0,0.0,17463,2,Mr
1,M,5,2,0,1,8,3,male,3,0.0,349909,5,Master
6,M,3,1,1,2,9,3,female,0,1.0,347742,3,Miss/Mrs/Ms
5,M,2,2,1,0,10,2,female,1,1.0,237736,2,Miss/Mrs/Ms
1,FG,3,2,0,1,11,3,female,1,1.0,PP 9549,3,Miss/Mrs/Ms
0,ABC,1,2,0,0,12,1,female,0,1.0,113783,1,Miss/Mrs/Ms
4,M,1,1,0,0,13,3,male,0,0.0,A/5. 2151,1,Mr
0,M,7,3,0,5,14,3,male,1,0.0,347082,7,Mr
5,M,1,0,0,0,15,3,female,0,0.0,350406,1,Miss/Mrs/Ms
0,M,1,2,1,0,16,2,female,0,1.0,248706,1,Miss/Mrs/Ms
1,M,6,2,0,1,17,3,male,4,0.0,382652,6,Master
6,M,1,1,0,0,18,2,male,0,1.0,244373,1,Mr
6,M,2,2,1,0,19,3,female,1,0.0,345763,2,Miss/Mrs/Ms
4,M,1,0,1,0,20,3,female,0,1.0,2649,1,Miss/Mrs/Ms
6,M,1,2,0,0,21,2,male,0,0.0,239865,2,Mr
6,DE,1,1,0,0,22,2,male,0,1.0,248698,1,Mr
5,M,1,1,0,0,23,3,female,0,1.0,330923,1,Miss/Mrs/Ms
6,ABC,1,3,0,0,24,1,male,0,1.0,113788,1,Mr
2,M,5,2,0,1,25,3,female,3,0.0,349909,5,Miss/Mrs/Ms
0,M,7,3,1,5,26,3,female,1,1.0,347077,7,Miss/Mrs/Ms
4,M,1,0,0,0,27,3,male,0,0.0,2631,1,Mr
