Age,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Deck
4,0,0,1,3,1,1,0.0,M
0,3,0,2,1,0,1,1.0,ABC
6,0,0,3,3,0,0,1.0,M
6,3,0,4,1,0,1,1.0,ABC
6,1,0,5,3,1,0,0.0,M
4,1,0,6,3,1,0,0.0,M
0,3,0,7,1,1,0,0.0,DE
1,2,1,8,3,1,3,0.0,M
6,1,2,9,3,0,0,1.0,M
5,2,0,10,2,0,1,1.0,M
1,2,1,11,3,0,1,1.0,FG
0,2,0,12,1,0,0,1.0,ABC
4,1,0,13,3,1,0,0.0,M
0,3,5,14,3,1,1,0.0,M
5,0,0,15,3,0,0,0.0,M
0,2,0,16,2,0,0,1.0,M
1,2,1,17,3,1,4,0.0,M
6,1,0,18,2,1,0,1.0,M
6,2,0,19,3,0,1,0.0,M
4,0,0,20,3,0,0,1.0,M
6,2,0,21,2,1,0,0.0,M
6,1,0,22,2,1,0,1.0,DE
5,1,0,23,3,0,0,1.0,M
6,3,0,24,1,1,0,1.0,ABC
2,2,1,25,3,0,3,0.0,M
0,3,5,26,3,0,1,1.0,M
4,0,0,27,3,1,0,0.0,M
4,3,2,28,1,1,3,0.0,ABC
4,0,0,29,3,0,0,1.0,M
4,0,0,30,3,1,0,0.0,M
0,2,0,31,1,1,0,0.0,M
0,3,0,32,1,0,1,1.0,ABC
4,0,0,33,3,0,0,1.0,M
3,1,0,34,2,1,0,0.0,M
6,3,0,35,1,1,1,0.0,M
0,3,0,36,1,1,1,0.0,M
4,0,0,37,3,1,0,1.0,M
4,1,0,38,3,1,0,0.0,M
5,2,0,39,3,0,2,0.0,M
5,1,0,40,3,0,1,1.0,M
0,1,0,41,3,0,1,0.0,M
6,2,0,42,2,0,1,0.0,M
4,0,0,43,3,1,0,0.0,M
1,3,2,44,2,0,1,1.0,M
4,0,0,45,3,0,0,1.0,M
4,1,0,46,3,1,0,0.0,M
4,2,0,47,3,1,1,0.0,M
4,0,0,48,3,0,0,1.0,M
4,2,0,49,3,1,2,0.0,M
5,2,0,50,3,0,1,0.0,M
2,3,1,51,3,1,4,0.0,M
4,0,0,52,3,1,0,0.0,M
0,3,0,53,1,0,1,1.0,DE
6,2,0,54,2,0,1,1.0,M
3,3,1,55,1,1,0,0.0,ABC
0,3,0,56,1,1,0,1.0,ABC
4,1,0,57,2,0,0,1.0,M
6,0,0,58,3,1,0,0.0,M
1,2,2,59,2,0,1,1.0,M
2,3,2,60,3,1,5,0.0,M
4,0,0,61,3,1,0,0.0,M
0,3,0,62,1,0,0,1.0,ABC
0,3,0,63,1,1,1,0.0,ABC
1,2,2,64,3,1,3,0.0,M
0,2,0,65,1,1,0,0.0,M
4,2,1,66,3,1,1,1.0,M
6,1,0,67,2,0,0,1.0,FG
4,1,0,68,3,1,0,0.0,M
5,0,2,69,3,0,4,1.0,M
6,1,0,70,3,1,2,0.0,M
6,1,0,71,2,1,0,0.0,M
5,3,2,72,3,0,5,0.0,M
